City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
198,punta arenas,-53.15,-70.9167,7.06,76,75,8.23,CL,1683740419
199,bandarbeyla,9.4942,50.8122,27.69,86,94,3.4,SO,1683740599
200,gadzhiyevo,69.2551,33.3362,2.78,100,100,4.37,RU,1683740599
201,coquimbo,-29.9533,-71.3436,14.85,82,20,2.06,CL,1683740599
202,godean,-7.7697,110.2939,24.53,95,81,0.86,ID,1683740599
203,flying fish cove,-10.4217,105.6791,26.82,89,100,5.66,CX,1683740600
204,bredasdorp,-34.5322,20.0403,15.51,78,56,2.96,ZA,1683740600
205,hutchinson island south,27.2995,-80.2205,32.27,58,40,3.6,US,1683740600
206,east london,-33.0153,27.9116,19.52,88,0,3.09,ZA,1683740601
207,gremyachevo,54.7503,38.5869,7.75,67,71,3.01,RU,1683740601
208,itaituba,-4.2761,-55.9836,31.09,79,40,1.03,BR,1683740601
209,tambopata,-12.7333,-69.1833,25.94,50,75,1.54,PE,1683740601
210,mount gambier,-37.8333,140.7667,7.08,93,0,2.49,AU,1683740602
211,ciudad melchor muzquiz,27.8833,-101.5167,30.29,39,8,2.33,MX,1683740602
212,taguatinga,-12.3857,-46.5711,34.38,29,49,2.22,BR,1683740602
213,bilibino,68.0546,166.4372,-1.94,89,100,1.22,RU,1683740603
214,colonia,50.9333,6.95,16.65,76,75,2.06,DE,1683740418
215,lerwick,60.1545,-1.1494,8.0,88,62,3.82,GB,1683740603
216,conduaga,8.862,117.4893,26.33,85,79,1.38,PH,1683740604
217,nuuk,64.1835,-51.7216,5.34,60,75,5.66,GL,1683740604
218,polyarnyy,69.1989,33.4478,3.07,100,100,4.64,RU,1683740604
219,le vauclin,14.5452,-60.8388,29.03,65,100,8.75,MQ,1683740605
220,naduvattam,11.4833,76.5667,14.54,90,82,1.19,IN,1683740605
221,bethanie,-26.4833,17.15,23.05,22,85,2.63,NA,1683740605
222,lodja,-3.4833,23.4333,21.97,91,86,0.87,CD,1683740606
223,tyuratam,45.6507,63.3156,27.16,13,100,3.97,KZ,1683740606
224,cartagena,10.3997,-75.5144,29.79,74,75,5.66,CO,1683740356
225,fonte boa,-2.4959,-66.2662,24.4,98,100,0.89,BR,1683740607
226,lincoln,40.8,-96.667,25.71,67,0,1.34,US,1683740567
227,mejit,10.2753,170.8646,27.48,81,85,9.05,MH,1683740609
228,kavaratti,10.5669,72.642,29.74,68,71,3.74,IN,1683740609
229,visby,57.6409,18.296,15.12,31,0,6.69,SE,1683740609
230,las heras,-46.5419,-68.9359,8.81,72,100,6.69,AR,1683740610
231,laguna,38.421,-121.4238,18.12,63,40,6.17,US,1683740610
232,ujae,8.9322,165.7642,27.7,79,97,3.99,MH,1683740611
233,antsiranana,-12.2787,49.2917,25.33,80,5,6.5,MG,1683740611
234,kannur,11.8675,75.3576,28.17,85,98,3.07,IN,1683740338
235,itoman,26.1247,127.6694,21.43,60,20,3.6,JP,1683740612
236,tralee,52.2704,-9.7026,11.24,85,72,6.48,IE,1683740573
237,thames,-37.1333,175.5333,10.23,85,83,6.6,NZ,1683740612
238,carnarvon,-24.8667,113.6333,20.28,77,7,9.05,AU,1683740613
239,pacasmayo,-7.4006,-79.5714,25.34,73,40,6.49,PE,1683740613
240,nogliki,51.8333,143.1667,-0.28,97,100,2.99,RU,1683740613
241,yantarnyy,54.8717,19.9381,15.92,72,33,5.17,RU,1683740613
242,campo gallo,-26.5833,-62.85,27.0,30,0,1.62,AR,1683740614
243,sitka,57.0531,-135.33,9.94,71,40,3.6,US,1683740614
244,adra,36.7496,-3.0206,26.32,71,41,1.75,ES,1683740614
245,solnechnyy,50.7214,136.6319,1.11,67,19,1.05,RU,1683740614
246,ta`u,-14.2336,-169.5144,27.75,72,30,6.19,AS,1683740615
247,sinop,41.7711,34.8709,7.38,98,100,1.39,TR,1683740615
248,uturoa,-16.7333,-151.4333,28.33,74,94,9.87,PF,1683740615
249,marang,5.2056,103.2059,27.95,87,93,1.58,MY,1683740616
250,faya-largeau,17.9257,19.1043,35.78,6,56,4.24,TD,1683740616
251,qa'en,33.7265,59.1844,22.88,29,94,3.39,IR,1683740616
252,tolanaro,-25.0319,46.9987,23.04,88,40,6.17,MG,1683740616
253,dakhla,23.6848,-15.958,21.01,83,33,10.29,EH,1683740617
254,santo antonio,-6.3106,-35.4789,29.08,62,68,3.71,BR,1683740617
255,vadso,70.0744,29.7487,8.49,81,0,3.6,NO,1683740617
256,ceelbuur,4.685,46.6176,30.28,53,95,6.76,SO,1683740618
257,acapulco de juarez,16.8634,-99.8901,30.9,74,0,5.66,MX,1683740360
258,geraldton,-28.7667,114.6,16.23,77,100,3.09,AU,1683740618
259,ad dilam,23.9915,47.1627,35.23,12,0,5.5,SA,1683740618
260,kilindoni,-7.9139,39.6668,27.24,74,28,5.67,TZ,1683740619
261,pagar alam,-4.0167,103.2667,20.52,97,89,0.93,ID,1683740619
262,labrador city,52.9463,-66.9114,6.95,31,20,6.17,CA,1683740619
263,sao jose da coroa grande,-8.8978,-35.1478,27.98,70,42,3.23,BR,1683740619
264,kolonia,50.9333,6.95,16.65,76,75,2.06,DE,1683740620
265,smithers,54.7804,-127.1743,11.18,54,75,2.06,CA,1683740495
266,tazovsky,67.4667,78.7,-10.39,91,99,5.97,RU,1683740149
267,storvreta,59.9667,17.7,14.99,36,91,7.2,SE,1683740620
268,bardai,11.65,7.2333,32.46,23,98,2.89,NG,1683740621
269,masterton,-40.9597,175.6575,11.05,87,35,3.3,NZ,1683740621
270,ghanzi,-21.5667,21.7833,19.84,34,0,3.63,BW,1683740621
271,zhezqazghan,47.7833,67.7667,21.62,18,95,4.1,KZ,1683740621
272,verkhnevilyuysk,63.4453,120.3167,-2.34,88,26,2.0,RU,1683740622
273,butembo,0.15,29.2833,14.95,97,89,1.15,CD,1683740622
274,vilhena,-12.7406,-60.1458,28.12,54,40,4.12,BR,1683740622
275,duong dong,10.2167,103.9667,27.0,94,20,1.03,VN,1683740622
276,cape coast,5.1053,-1.2466,28.99,79,92,7.22,GH,1683740623
277,turaif,31.6725,38.6637,28.14,11,0,2.06,SA,1683740623
278,luderitz,-26.6481,15.1594,15.9,75,63,3.01,NA,1683740623
279,yei,4.095,30.6779,20.63,93,92,0.55,SS,1683740623
280,les sables-d'olonne,46.6667,-1.8333,14.44,78,80,7.25,FR,1683740624
281,inarajan village,13.2736,144.7484,27.54,96,74,3.2,GU,1683740624
282,pisco,-13.7,-76.2167,24.03,64,0,7.2,PE,1683740624
283,darwin,-12.4611,130.8418,21.99,58,95,3.6,AU,1683740624
284,noshiro,40.2039,140.0242,7.13,79,0,1.24,JP,1683740625
285,berezovyy,51.6667,135.7,2.55,58,1,1.07,RU,1683740625
286,filadelfia,39.9523,-75.1638,22.9,39,0,3.09,US,1683740409
287,lewiston orchards,46.3804,-116.9754,17.29,71,20,0.0,US,1683740625
288,tindouf,27.6711,-8.1474,39.25,6,75,3.09,DZ,1683740626
289,port lincoln,-34.7333,135.8667,13.89,60,0,5.52,AU,1683740631
290,waat,51.1454,6.4958,16.62,84,75,3.09,DE,1683740631
291,varzea da palma,-17.5981,-44.7308,32.42,30,85,0.72,BR,1683740632
292,pemangkat,1.1667,108.9667,26.73,84,86,1.26,ID,1683740632
293,malanje,-9.5402,16.341,18.85,58,1,0.71,AO,1683740632
294,ndende,-2.4008,11.3581,24.57,94,82,0.4,GA,1683740633
295,ginir,7.1333,40.7,14.39,94,70,2.1,ET,1683740634
296,palmer,42.1584,-72.3287,22.1,25,40,3.09,US,1683740559
297,bonga,7.2833,36.2333,16.57,99,98,1.03,ET,1683740634
298,bogale,16.2833,95.4,28.82,73,94,2.41,MM,1683740634
299,isafjordur,66.0755,-23.124,7.02,87,20,4.63,IS,1683740635
300,port blair,11.6667,92.75,28.39,79,100,8.77,IN,1683740635
301,kerikeri,-35.2268,173.9474,10.51,92,43,4.89,NZ,1683740635
302,changji,44.0167,87.3167,20.44,19,0,4.0,CN,1683740636
303,pudasjarvi,65.3833,26.9167,10.84,53,100,4.67,FI,1683740636
304,touros,-5.1989,-35.4608,28.94,66,32,6.28,BR,1683740636
305,berdigestyakh,62.0989,126.6992,0.28,90,100,3.5,RU,1683740637
306,klyuchi,52.2667,79.1667,12.96,47,59,4.16,RU,1683740637
307,kasempa,-13.4584,25.8338,16.82,53,57,1.76,ZM,1683740637
308,lander,42.833,-108.7307,15.44,35,100,0.0,US,1683740643
309,khandud,36.9513,72.318,0.75,49,17,1.39,AF,1683740643
310,ebon,4.582,168.6964,28.5,80,81,6.0,MH,1683740644
311,nelson,-41.2833,173.2833,6.83,94,70,0.89,NZ,1683740413
312,buka,40.8108,69.1986,22.79,26,99,2.8,UZ,1683740644
313,pandua,23.0833,88.2833,29.28,70,68,5.72,IN,1683740645
314,soligalich,59.0778,42.2864,8.69,73,82,0.47,RU,1683740645
315,bel ombre,-4.6167,55.4167,28.91,70,20,6.17,SC,1683740645
316,broken hill,-31.95,141.4333,9.54,71,0,3.23,AU,1683740646
317,minas de marcona,-15.2119,-75.1103,20.65,58,35,6.35,PE,1683740646
318,marsh harbour,26.5412,-77.0636,25.47,67,0,3.59,BS,1683740646
319,mossel bay,-34.1831,22.146,19.96,59,6,3.6,ZA,1683740646
320,palu,-0.8917,119.8707,24.91,93,80,1.49,ID,1683740647
321,tazacorte,28.629,-17.9293,23.54,64,0,5.66,ES,1683740647
322,polyarnyye zori,67.3661,32.4981,1.61,100,100,1.7,RU,1683740648
323,qalat,32.1058,66.9083,23.47,14,100,3.31,AF,1683740648
324,the pas,53.8251,-101.2541,19.01,45,0,4.63,CA,1683740648
325,cooma,-36.2333,149.1333,2.4,96,0,0.31,AU,1683740649
326,caconda,-13.7333,15.0667,17.07,43,4,1.66,AO,1683740649
327,hadibu,12.65,54.0333,29.26,63,86,2.0,YE,1683740649
328,praia da vitoria,38.7333,-27.0667,21.14,73,40,5.31,PT,1683740650
329,brisas de zicatela,15.8369,-97.0419,32.29,66,0,6.17,MX,1683740650
330,zhangye,38.9342,100.4517,12.59,35,98,2.01,CN,1683740650
331,mar del plata,-38.0023,-57.5575,14.49,74,100,3.09,AR,1683740650
332,dalbandin,28.8947,64.4101,31.92,5,38,2.39,PK,1683740651
