City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
143,revda,56.801,59.9303,281.18,43,89,0.69,RU,1683735130
144,rawlins,41.7911,-107.2387,287.79,54,20,7.2,US,1683735056
145,pamekasan,-7.1568,113.4746,300.2,85,92,4.99,ID,1683734863
146,tocopilla,-22.092,-70.1979,296.14,62,7,2.65,CL,1683735133
147,zhongshu,24.5167,103.7667,289.94,94,85,2.9,CN,1683735134
148,saint-pierre,-21.3393,55.4781,298.97,69,0,6.69,RE,1683735135
149,essaouira,31.5125,-9.77,295.23,69,0,14.09,MA,1683735136
150,gaigeturi,33.4644,126.3183,289.35,59,100,1.69,KR,1683735137
151,duyun,26.2667,107.5167,287.76,98,100,0.96,CN,1683735137
152,inonu,37.3167,33.7667,292.4,40,85,2.4,TR,1683735138
153,usinsk,65.9939,57.5281,272.97,87,99,3.49,RU,1683735139
154,biltine,14.5333,20.9167,310.44,22,100,8.12,TD,1683735139
155,manicore,-5.8092,-61.3003,304.93,60,63,1.63,BR,1683735140
156,al hufuf,25.3646,49.5653,310.19,10,18,4.34,SA,1683735018
157,vorgashor,67.5833,63.95,268.96,83,100,3.73,RU,1683735141
158,stanley,54.868,-1.6985,288.44,75,40,3.09,GB,1683735141
159,dudinka,69.4058,86.1778,252.64,97,66,2.21,RU,1683735142
160,sale,34.0389,-6.8166,301.28,68,39,5.66,MA,1683735142
161,orapa,-21.2833,25.3667,295.82,32,10,1.91,BW,1683735143
162,batticaloa,7.7102,81.6924,299.85,82,100,5.21,LK,1683735145
163,anadyr,64.75,177.4833,267.43,85,0,1.0,RU,1683735145
164,"laikit, laikit ii (dimembe)",1.4792,124.9735,297.62,94,40,1.54,ID,1683735146
165,pierre,44.3683,-100.351,291.96,69,0,5.66,US,1683735148
166,sint michiel liber,12.15,-68.9833,303.05,66,20,8.23,CW,1683735148
167,la paz,-16.5,-68.15,286.8,37,75,3.6,BO,1683734872
168,chibougamau,49.9168,-74.3659,287.28,43,41,5.64,CA,1683734985
169,sur,22.5667,59.5289,306.56,31,1,3.41,OM,1683735151
170,rikaze,29.25,88.8833,280.25,26,1,2.45,CN,1683735152
171,hermanus,-34.4187,19.2345,291.37,87,50,1.69,ZA,1683735153
172,cabo san lucas,22.8909,-109.9124,304.6,26,0,3.09,MX,1683734986
173,nar'yan-mar,67.6713,53.087,270.78,90,79,1.81,RU,1683735155
174,tiquipaya,-17.3382,-66.2189,293.55,43,75,1.34,BO,1683735156
175,richards bay,-28.783,32.0377,293.22,91,39,1.96,ZA,1683735157
176,tura,25.5198,90.2201,298.56,43,0,2.22,IN,1683735157
177,galle,6.0367,80.217,300.95,81,100,4.22,LK,1683735157
178,grahamstown,-33.3042,26.5328,289.23,45,75,0.53,ZA,1683735158
179,ust-nera,64.5667,143.2,272.0,72,100,3.09,RU,1683735158
180,zeya,53.75,127.2667,278.66,66,13,1.25,RU,1683735158
181,la'ie,21.6477,-157.9253,295.99,77,13,0.89,US,1683735158
182,petropavlovsk-kamchatsky,53.0452,158.6483,273.03,93,35,1.68,RU,1683735159
183,ulaangom,49.9811,92.0667,283.87,63,63,3.59,MN,1683735159
184,timbuktu,16.7735,-3.0074,315.03,5,98,7.19,ML,1683735159
185,lihue,21.9789,-159.3672,295.92,83,100,5.66,US,1683734891
186,constantia,44.1833,28.65,285.76,66,2,4.07,RO,1683735160
187,mumford,5.2618,-0.759,303.16,72,100,6.22,GH,1683735160
188,longyearbyen,78.2186,15.6401,272.06,93,100,6.17,SJ,1683735160
189,la ronge,55.1001,-105.2842,287.46,54,98,2.23,CA,1683735161
190,tsiombe,-25.3,45.4833,295.68,89,9,5.16,MG,1683735161
191,bodo,67.28,14.405,286.17,62,0,5.14,NO,1683735161
192,holualoa,19.6228,-155.9522,294.06,90,40,2.06,US,1683735162
193,saipan,15.1355,145.701,300.54,100,20,2.06,MP,1683735162
194,constitucion,-35.3333,-72.4167,290.74,53,100,6.22,CL,1683735162
195,wynyard,-41.0,145.7167,280.99,83,0,1.88,AU,1683735162
196,soio,-6.1349,12.3689,301.75,77,55,3.08,AO,1683735163
197,ngaoundere,7.3167,13.5833,300.89,51,89,1.04,CM,1683735163
198,punta arenas,-53.15,-70.9167,279.21,81,75,8.23,CL,1683735163
199,bandarbeyla,9.4942,50.8122,301.17,82,100,7.41,SO,1683735164
200,gadzhiyevo,69.2551,33.3362,277.23,100,100,4.21,RU,1683735164
201,coquimbo,-29.9533,-71.3436,286.0,100,100,2.57,CL,1683734906
202,godean,-7.7697,110.2939,298.02,95,93,0.45,ID,1683735164
203,flying fish cove,-10.4217,105.6791,299.97,89,100,6.17,CX,1683735165
204,bredasdorp,-34.5322,20.0403,291.16,60,23,2.64,ZA,1683735165
205,hutchinson island south,27.2995,-80.2205,304.31,61,40,2.57,US,1683735165
206,east london,-33.0153,27.9116,294.99,71,54,6.89,ZA,1683734978
207,gremyachevo,54.7503,38.5869,283.79,68,81,2.68,RU,1683735166
208,itaituba,-4.2761,-55.9836,306.39,49,100,1.1,BR,1683735166
209,tambopata,-12.7333,-69.1833,298.09,53,75,3.09,PE,1683735166
210,mount gambier,-37.8333,140.7667,280.65,93,0,2.28,AU,1683735166
211,ciudad melchor muzquiz,27.8833,-101.5167,299.89,50,16,1.42,MX,1683735167
212,taguatinga,-12.3857,-46.5711,307.0,31,42,2.8,BR,1683735167
213,bilibino,68.0546,166.4372,268.91,97,100,0.95,RU,1683735167
214,colonia,50.9333,6.95,290.9,73,75,4.12,DE,1683735083
215,lerwick,60.1545,-1.1494,281.15,89,84,4.16,GB,1683735168
216,conduaga,8.862,117.4893,299.91,84,69,1.81,PH,1683735168
217,nuuk,64.1835,-51.7216,277.49,70,75,6.17,GL,1683735008
218,polyarnyy,69.1989,33.4478,277.4,100,100,4.56,RU,1683735169
219,le vauclin,14.5452,-60.8388,302.51,70,95,7.72,MQ,1683735170
220,naduvattam,11.4833,76.5667,288.12,89,70,1.61,IN,1683735171
221,bethanie,-26.4833,17.15,300.63,15,36,2.82,NA,1683735171
222,lodja,-3.4833,23.4333,297.73,82,90,0.91,CD,1683735172
223,tyuratam,45.6507,63.3156,302.38,11,100,3.09,KZ,1683735172
224,cartagena,10.3997,-75.5144,301.94,79,75,3.6,CO,1683735101
225,fonte boa,-2.4959,-66.2662,296.69,99,100,0.44,BR,1683735173
226,lincoln,40.8,-96.667,295.87,72,0,2.57,US,1683734973
227,mejit,10.2753,170.8646,300.72,80,97,8.86,MH,1683735174
228,kavaratti,10.5669,72.642,302.77,69,71,4.06,IN,1683735174
229,visby,57.6409,18.296,289.27,29,0,7.72,SE,1683735174
